ring	ID	xcoor	ycoor	spec	dbh	1998	1999	2000
1	15021	-5.44	-12.67	pita	7.6	0	0	0
1	15024	-1.81	-11.59	pita	6.5	0	0	0
1	15025	-1.26	-10.61	pita	15.7	0	0	0
1	15027	-2.95	-10.64	pita	17.1	0	2	0
1	15031	-3.13	-9.09	pita	17.5	0	2	0
1	15033	-1.5	-9.15	pita	17.9	0	0	2
1	15034	-1.41	-7.5	pita	5.2	0	0	0
1	15042	-1.32	-3.94	pita	14.8	0	0	0
1	15058	-5.2	-8.72	pita	15.5	0	0	0
1	16007	-4.05	-4.46	pita	7.7	0	0	0
1	16010	-5.81	-4.04	pita	21.9	0	9	20
1	16012	-6.1	-2.12	pita	4.8	0	0	0
1	16014	-6.76	-2.08	pita	5.6	0	0	0
1	16015	-7.77	-2.14	pita	22.3	0	0	0
1	16020	-6.85	-5.52	pita	11.5	0	0	0
1	16049	-11.01	-6.06	pita	22.3	0	0	2
1	16058	-11.65	-2.9	pita	13.2	0	0	0
1	17007	-11.45	2.87	pita	23.8	0	10	14
1	17008	-12.47	5.08	pita	6.5	0	0	0
1	17026	-8.54	2.72	pita	19.4	0	0	5
1	17030	-8.12	0	pita	18.5	0	0	0
1	17037	-7.15	3.68	pita	17.3	0	3	0
1	17038	-6.86	4.79	pita	12.6	0	0	0
1	17040	-6.25	3.85	pita	6.2	0	0	0
1	17043	-5.09	2.93	pita	17.2	0	0	0
1	17045	-2.45	1.14	pita	14.1	0	0	0
1	17048	-5.52	0.96	pita	20.5	0	0	0
1	18005	-0.66	2.2	pita	6.4	0	0	0
1	18019	-4.8	5.15	pita	21.2	0	0	1
1	18021	-0.67	5.47	pita	16.5	0	0	0
1	18032	-5.8	7.15	pita	11.2	0	0	0
1	18034	-5.87	8.3	pita	10.4	0	0	0
1	18044	-2.58	10.44	pita	23.1	0	0	1
1	18053	-6.1	10.54	pita	15.3	0	0	0
1	18068	-5.41	13.17	pita	22.2	0	5	0
1	18075	-2.71	12.44	pita	18.7	0	3	2
1	18078	-2.64	14.69	pita	14.1	0	0	0
1	18080	-2.65	10.94	pita	3.1	0	0	0
2	21004	1.52	5.38	pita	20.9	0	59	43
2	21007	4.01	4.96	pita	13.6	0	0	0
2	21008	3.56	4.94	pita	15.7	0	0	4
2	21011	6.96	7.04	pita	6.3	0	0	0
2	21012	6.4	7.41	pita	2.7	0	0	0
2	21013	6.45	7.61	pita	25.6	0	9	0
2	21015	5.99	7.59	pita	4	0	0	0
2	21016	4.18	6.67	pita	20.9	1	14	2
2	21017	1.55	7.36	pita	7.8	0	0	0
2	21019	1.44	9.21	pita	27.1	0	0	0
2	21027	8.73	9.03	pita	25.2	1	6	2
2	21028	8.8	11.42	pita	19	0	0	0
2	21029	6.68	11.32	pita	17.8	0	0	0
2	21031	3.86	13.27	pita	22.8	0	26	4
2	22003	3.46	0.63	pita	12.5	0	2	0
2	22008	6.93	0.51	pita	21.1	0	21	17
2	22011	6.96	2.99	pita	22	0	0	0
2	22015	8.46	4.53	pita	22.4	0	1	0
2	22018	8.92	3.09	pita	5.1	0	0	0
2	22020	8.91	2.22	pita	16	0	0	0
2	22022	9.06	1.11	pita	20.7	0	0	0
2	22033	13.06	5.44	pita	15.7	0	0	0
2	22042	11.66	7.08	pita	5.5	0	0	0
2	22046	12.3	8.56	pita	18.9	0	0	0
2	23003	1.38	-0.75	pita	22.9	0	1	0
2	23006	5	-0.89	pita	15.5	0	0	0
2	23007	6.31	-1.56	pita	18.6	0	0	3
2	23011	6.38	-4.89	pita	19.3	0	0	0
2	23014	8.31	-3.55	pita	14.2	0	4	0
2	23025	7.81	-5.54	pita	12.3	0	0	0
2	23030	10.66	-7.98	pita	11.8	0	2	0
2	23031	10.23	-10.28	pita	26.8	0	0	0
2	23034	10.49	-5.88	pita	17	0	0	0
2	23039	13.48	-2.15	pita	5.7	0	0	0
2	24004	0.95	-2.9	pita	12	0	0	0
2	24010	3.49	-5	pita	19.8	0	29	6
2	24013	1.43	-5.79	pita	19	1	2	6
2	24023	7.83	-9.09	pita	23.6	4	0	0
2	24036	1.61	-10.08	pita	19.9	0	0	20
2	24045	4.79	-11.83	pita	8.4	0	0	0
2	25009	-2.33	-6.86	pita	22	0	4	40
2	25017	-2.39	-9.53	pita	18.1	0	0	0
2	25020	-4.81	-8.36	pita	21.6	0	8	3
2	26004	-11.23	-1.21	pita	17	0	0	0
2	26011	-13.44	-6.06	pita	12.4	0	0	0
2	26014	-12.71	-7.16	pita	2.9	0	0	0
2	26048	-5.69	-2.85	pita	22.6	0	1	1
2	26051	-2.42	-2.44	pita	20.8	0	14	27
2	26062	-5.16	-1.24	pita	18.2	0	0	4
2	26063	-5.66	-1.08	pita	14.2	0	0	0
2	27006	-4.64	2.05	pita	17.3	0	11	0
2	27013	-4.39	3.63	pita	14.5	0	0	14
2	27014	-6.25	1.6	pita	8.6	0	0	0
2	27018	-7.41	3.19	pita	9.1	0	0	0
2	27020	-7.53	3.38	pita	2.6	0	0	0
2	27022	-7.42	6.43	pita	19.8	0	2	0
2	27025	-10.06	5.93	pita	20	0	20	23
2	27028	-10.44	8.27	pita	22.2	0	5	0
2	27029	-11.4	7.13	pita	10.2	0	0	0
2	27031	-12	5.65	pita	12.9	0	0	0
2	27044	-10.21	2.71	pita	20.9	0	1	0
2	27046	-10.17	0.85	pita	21.1	0	6	4
2	27052	-14.45	-0.07	pita	7.3	0	0	0
2	27053	-9.03	0.68	pita	5.8	0	0	0
2	28004	-1.47	12.33	pita	23.1	0	1	44
2	28010	-3.63	12.7	pita	17	0	7	0
2	28018	-6.96	9.06	pita	21.5	0	4	5
2	28031	-0.13	8.15	pita	10.1	0	0	0
2	28035	-1.61	6.95	pita	18.4	0	0	1
2	28039	-4.14	5.69	pita	22.6	0	0	7
2	28044	-0.96	3.14	pita	21.2	0	0	4
3	31003	2.2	4.71	pita	21.5	0	0	0
3	31006	2.57	7.75	pita	22.4	0	1	6
3	31007	4.36	4.75	pita	17.3	0	0	0
3	31010	4.71	8.22	pita	16	0	0	0
3	31016	6.75	8.4	pita	25	0	25	27
3	31021	6.97	13.15	pita	22.4	0	0	0
3	31024	5.16	12.82	pita	23.9	0	0	0
3	31026	2.46	12.38	pita	23	0	0	0
3	32003	4.23	2.25	pita	21.9	0	0	1
3	32007	6.97	2.48	pita	19	0	3	17
3	32011	7.19	5.07	pita	28.6	0	30	37
3	32016	9.48	2.68	pita	16	0	0	0
3	32033	11.42	8.75	pita	22.5	0	1	0
3	32034	10.93	5.48	pita	23.2	0	1	0
3	32035	12.01	5.55	pita	8.7	0	0	0
3	32037	11.8	2.85	pita	23.4	0	0	0
3	33005	4.17	-0.01	pita	15.3	0	0	0
3	33006	6.57	0.55	pita	25.6	0	16	13
3	33010	6.72	-1.83	pita	19.2	0	6	5
3	33022	6.44	-4.86	pita	17.4	0	0	1
3	33025	8.6	-4.65	pita	23.8	0	6	12
3	33028	10.59	-6.9	pita	20.4	0	0	0
3	33033	11.44	-1.52	pita	19	0	4	10
3	33034	13.41	-1.45	pita	3.6	0	0	0
3	33040	9.13	-1.54	pita	23.4	0	11	5
3	34003	1.71	-1.01	pita	19.6	0	0	1
3	34004	1.73	-1.92	pita	17.5	0	0	0
3	34006	1	-3.23	pita	16.5	0	0	0
3	34020	3.3	-5.68	pita	22	2	30	31
3	34025	1.12	-5.93	pita	19.7	0	0	0
3	34032	4.69	-6.43	pita	7.35	0	0	0
3	34034	3.56	-8.67	pita	18	0	0	0
3	34037	0.13	-8.3	pita	17.8	0	0	0
3	34039	1.39	-9.97	pita	9.6	0	0	0
3	34040	1.87	-10	pita	15	0	0	0
3	34041	5.98	-7.88	pita	12	0	0	0
3	34042	7.56	-7.55	pita	17.7	0	0	7
3	34048	8.21	-10.3	pita	21.4	0	0	0
3	34052	6.01	-9.09	pita	17	0	0	0
3	34063	5.62	-13.7	pita	22.1	0	0	0
3	34065	2.94	-13.73	pita	18.9	0	0	0
3	34068	1.14	-11	pita	15.05	0	0	0
3	34072	0.1	-12.03	pita	12.9	0	0	0
3	35004	-1.29	-3.97	pita	19.3	0	0	2
3	35005	-1.31	-5.04	pita	15.3	0	0	0
3	35006	-2.83	-4.03	pita	13.6	0	0	0
3	35007	-3.72	-4.49	pita	15.4	0	0	0
3	35009	-5.4	-6.49	pita	10.6	0	0	0
3	35010	-6	-6.99	pita	11.3	0	0	0
3	35011	-6.51	-7.46	pita	11.8	0	0	0
3	35017	-5.94	-9.71	pita	22.2	3	16	21
3	35019	-5.87	-12.52	pita	22.2	0	0	2
3	35021	-3.32	-14.65	pita	13.1	0	0	0
3	35022	-2.62	-14.65	pita	7.4	0	0	0
3	35023	-2.19	-14.6	pita	4.5	0	0	0
3	35025	-2.35	-12.36	pita	11.7	0	0	0
3	35026	-1.63	-11.32	pita	19.5	0	0	0
3	35027	-3.22	-11.58	pita	19.9	0	12	4
3	35028	-4.15	-10.52	pita	11.6	0	0	0
3	35030	-3.45	-9.4	pita	13.9	0	0	0
3	35032	-1.6	-9.53	pita	15.5	0	0	0
3	35033	-2.71	-7.89	pita	11	0	0	0
3	35035	-3.03	-6.76	pita	18.6	0	2	3
3	35036	-1.82	-7.16	pita	17.6	0	0	0
3	35037	-2.39	-5.83	pita	12.7	0	0	0
3	36004	-13.73	-5.54	pita	20.9	0	0	0
3	36005	-11.43	-3.27	pita	18.8	0	0	0
3	36008	-11.11	-5.44	pita	22.4	0	0	0
3	36012	-9.16	-8.18	pita	21.2	0	0	2
3	36018	-8.09	-5.99	pita	18.2	0	0	0
3	36025	-6.13	-4.56	pita	15.3	0	0	1
3	36027	-5.18	-3.79	pita	13.6	0	0	0
3	36028	-4.01	-3.31	pita	7.3	0	0	0
3	36030	-3.15	-1.74	pita	17.4	0	0	0
3	36032	-1.03	-1.19	pita	17.4	0	0	0
3	36033	-5.29	-2.34	pita	10.5	0	0	0
3	36034	-7.67	-2.48	pita	22.9	0	5	0
3	36035	-9.61	-3.09	pita	23.2	0	0	0
3	37006	-3.17	1.36	pita	13.8	0	0	0
3	37007	-4.35	2.42	pita	14.8	0	0	0
3	37008	-4.71	3.15	pita	22.2	0	0	0
3	37014	-7.49	2.42	pita	20.9	0	0	0
3	37018	-8.12	4.86	pita	13	0	0	0
3	37023	-9.87	4.34	pita	18.9	0	0	0
3	37026	-8.19	7.29	pita	19	0	0	1
3	37028	-10.46	6.66	pita	15.2	0	0	0
3	37031	-10.51	9.07	pita	16.8	0	2	1
3	37037	-10.65	5.61	pita	18	0	0	0
3	37039	-12.04	3.39	pita	24.6	0	37	29
3	37048	-7.71	-0.05	pita	15.4	0	0	0
3	37050	-9.69	-0.57	pita	17.2	0	0	0
3	37051	-11.76	-1.21	pita	23.2	0	0	0
3	37055	-13.94	0.92	pita	22.8	0	0	4
3	38009	-2.14	14.22	pita	25.5	0	2	0
3	38010	-2.88	13.06	pita	7.8	0	0	0
3	38011	-3.72	12.7	pita	6	0	0	0
3	38013	-4.81	12.24	pita	6.4	0	0	0
3	38014	-5.57	13.26	pita	19	0	0	0
3	38015	-7.39	11.65	pita	13.5	0	0	0
3	38018	-5.87	10.18	pita	23.7	0	0	4
3	38019	-6.44	10.67	pita	18	0	0	0
3	38025	-2.04	9.1	pita	22.2	0	2	12
3	38030	0.2	9.8	pita	22.4	0	19	27
3	38031	-0.08	7.02	pita	9.3	0	0	0
3	38032	-0.69	7.14	pita	13.7	0	0	0
3	38035	-0.72	4.28	pita	18.9	0	0	0
3	38040	-2.2	5.59	pita	20.5	0	0	5
3	38044	-3.33	6.53	pita	23.3	0	7	0
3	38047	-0.66	2.03	pita	20.8	0	9	31
4	41003	0.72	1.73	pita	18.4	0	0	0
4	41004	0.76	2.07	pita	4.5	0	0	0
4	41009	0.5	4.79	pita	12.2	0	0	0
4	41011	2.53	4.66	pita	16.9	0	23	20
4	41015	4.43	4.38	pita	13.5	0	0	0
4	41019	4.25	6.8	pita	17.8	0	0	0
4	41020	1.67	7.29	pita	16.9	0	0	0
4	41025	6.49	6.8	pita	20.4	0	0	0
4	41026	6.94	8.88	pita	19.5	0	0	10
4	41034	7.55	11.44	pita	22.2	2	20	32
4	41038	4.85	11.88	pita	24.5	0	7	30
4	41043	2.39	12.27	pita	21.2	2	0	2
4	42006	2.96	1.44	pita	16.5	0	0	0
4	42007	4.66	1.09	pita	18	0	2	3
4	42012	6.53	4.14	pita	16.4	0	0	0
4	42014	7	2.63	pita	3.9	0	0	0
4	42015	6.54	0.76	pita	17.9	0	0	0
4	42016	8.39	0.61	pita	22	0	13	15
4	42019	10.11	0.9	pita	12.9	0	0	0
4	42022	10.46	3.67	pita	21	0	10	12
4	42028	10.35	6	pita	18	3	40	35
4	42029	10.9	6.19	pita	9.2	0	2	0
4	42039	11.34	8.35	pita	15.9	0	3	9
4	42042	12.19	6.22	pita	8.1	0	0	0
4	42044	12.81	4.8	pita	8.3	0	0	0
4	42046	13.73	4.97	pita	10.7	0	0	0
4	42047	13.73	4.64	pita	12	0	0	0
4	42052	14.54	1.04	pita	19.9	0	11	20
4	42053	12.49	-1.31	pita	13.6	0	0	0
4	42055	12.33	-0.61	pita	17.3	0	4	2
4	42058	11.79	8.02	pita	11.5	0	2	0
4	43003	0.78	-1.41	pita	12.4	0	0	0
4	43005	2.51	-1.5	pita	15.1	0	0	0
4	43008	3.59	-4.23	pita	22	0	3	9
4	43009	4.33	-1.79	pita	19.3	0	0	0
4	43012	6.06	-2.04	pita	17.5	1	2	0
4	43014	4.97	-4.24	pita	14.5	0	0	0
4	43015	6.46	-4.5	pita	14.7	0	0	0
4	43018	5.79	-6.83	pita	17.5	0	0	0
4	43019	7.37	-7.14	pita	19.6	0	0	2
4	43023	9.09	-7.33	pita	12.9	0	0	0
4	43027	7.51	-9.88	pita	20.3	0	0	0
4	43031	11.07	-7.52	pita	17.9	0	4	2
4	43034	10.14	-2.35	pita	20.2	0	34	0
4	44004	-0.15	-4.18	pita	18.3	0	0	0
4	44006	1.75	-4.49	pita	9.5	0	0	0
4	44007	3.42	-6.9	pita	19	0	0	3
4	44008	1.5	-6.68	pita	21	0	10	9
4	44011	-0.79	-6.72	pita	13.1	0	1	0
4	44014	-1.91	-8.81	pita	20.4	0	2	3
4	44018	2.98	-9.39	pita	16.3	0	2	3
4	44022	5.3	-9.61	pita	18.3	1	4	0
4	44025	6.55	-12.29	pita	11.8	0	2	0
4	44027	4.34	-12.06	pita	23.3	1	0	0
4	44033	2.38	-11.96	pita	15.2	0	0	2
4	44035	3.91	-14.35	pita	20	1	0	0
4	44039	1.87	-14.05	pita	17.9	0	0	0
4	44042	0.4	-11.82	pita	12	0	1	0
4	44044	0.02	-14.01	pita	19.6	0	1	2
4	44045	-1.92	-13.67	pita	18.5	0	0	0
4	44047	-4.04	-13.45	pita	16.2	0	0	0
4	44052	-1.48	-11.57	pita	10.9	0	0	3
4	45004	-1.85	-3.68	pita	17.8	0	0	2
4	45005	-3.52	-3.24	pita	13.8	0	0	0
4	45011	-7.43	-5.04	pita	10	0	0	0
4	45012	-5.63	-5.36	pita	17.9	0	8	19
4	45015	-3.29	-6.04	pita	15.6	0	4	1
4	45020	-4.06	-8.13	pita	20.3	0	2	0
4	45021	-6.14	-7.97	pita	14.9	0	2	0
4	45024	-8.52	-7.61	pita	18.6	0	0	2
4	45027	-8.37	-6.24	pita	12.5	0	0	0
4	45036	-10.48	-7.4	pita	18.2	0	4	5
4	45038	-12.47	-7.08	pita	16	0	0	0
4	45040	-10.34	-10.1	pita	18.7	0	0	0
4	45042	-8.5	-10.39	pita	18	0	0	0
4	45049	-6.81	-10.71	pita	15.3	0	4	0
4	45050	-5.01	-10.61	pita	19	0	0	0
4	45053	-6.12	-13.15	pita	17.9	0	0	0
4	46003	-3.12	-0.56	pita	15.8	0	0	0
4	46007	-4.83	-0.15	pita	17.7	0	0	0
4	46010	-5.18	-2.65	pita	14.4	0	0	0
4	46012	-6.74	-2.19	pita	19.6	0	4	8
4	46015	-8.31	0.62	pita	18.3	0	13	25
4	46019	-10.07	0.83	pita	18.7	0	13	10
4	46021	-8.97	-2	pita	17.8	0	3	4
4	46027	-9.2	-4.6	pita	18	0	0	8
4	46029	-11.18	-4.37	pita	10.1	0	0	0
4	46034	-12.77	-4.05	pita	18.8	0	0	0
4	46042	-12.26	-1.14	pita	16.4	0	2	3
4	46045	-13.63	1.55	pita	21.2	0	3	9
4	46052	-13.94	-0.64	pita	16.6	0	0	0
4	47008	-5.55	2.88	pita	16.7	0	0	0
4	47010	-7.25	3.24	pita	17.8	0	4	14
4	47023	-9.29	9.04	pita	16.5	0	5	0
4	47027	-11.69	9.51	pita	19.3	0	9	0
4	47031	-12.12	7.13	pita	16.3	0	2	14
4	47034	-14.57	4.6	pita	14.2	0	0	2
4	47036	-12.67	4.18	pita	13	0	0	0
4	47037	-11.63	3.51	pita	9.4	0	0	0
4	47038	-10.6	3.91	pita	19.7	0	1	2
4	47041	-8.75	3.56	pita	13.4	0	0	0
4	47047	-13.41	4.54	pita	2.6	0	0	0
4	48003	-1.42	2.11	pita	17.6	0	0	0
4	48005	-1.17	5.15	pita	16.7	0	0	0
4	48013	-0.84	7.88	pita	17.6	0	6	14
4	48015	-3.36	6.79	pita	5.8	0	0	0
4	48017	-3	8.24	pita	17.6	0	7	7
4	48024	-4.95	8.47	pita	20.1	0	38	35
4	48027	-7.02	8.89	pita	18.2	0	5	0
4	48028	-5.82	10.89	pita	16.7	0	0	0
4	48035	-5.55	13.54	pita	14	0	0	0
4	48039	-3.98	10.7	pita	13.9	0	0	4
4	48042	-2.15	9.12	pita	5.1	0	0	0
4	48045	0.05	10.33	pita	16.6	0	0	2
4	48046	-2.34	11.52	pita	3.9	0	0	0
4	48047	-2.02	10.67	pita	17.5	0	12	10
4	48048	-0.33	12.6	pita	18	0	0	0
5	51003	1.23	3.87	pita	19.5	0	0	0
5	51004	2.51	2.87	pita	12.8	0	0	0
5	51006	4.07	3.3	pita	18.2	0	0	0
5	51007	4.57	4.68	pita	6	0	0	0
5	51009	1.7	6.14	pita	21.7	0	0	0
5	51020	7.23	8.95	pita	17	0	1	0
5	51029	9.99	8.47	pita	20.7	0	0	3
5	51030	9.07	9	pita	19.4	0	1	3
5	51038	5.04	13.84	pita	18.1	0	0	7
5	51039	2.9	14.38	pita	16.1	0	0	0
5	51040	2.53	11.3	pita	24.4	0	3	2
5	51042	3.06	11.3	pita	4.4	0	0	0
5	51048	1.61	8.53	pita	15.5	0	0	0
5	51050	0.61	13.98	pita	25.1	0	0	2
5	52003	3.96	0.69	pita	21.8	0	0	0
5	52009	6.55	3.93	pita	22.6	0	0	0
5	52015	8.98	5.9	pita	23.3	1	15	31
5	52025	13.67	5.57	pita	15.3	0	0	0
5	52026	13.35	4.7	pita	15.8	0	0	0
5	52028	13.87	2.05	pita	11.3	0	0	0
5	52029	13.69	0.54	pita	7.9	0	0	0
5	52038	9.54	1.06	pita	23.2	0	0	0
5	52048	6.75	1.37	pita	18.9	0	0	0
5	52052	8.36	0.39	pita	9.8	0	0	0
5	53004	3.36	-1.69	pita	19	0	0	8
5	53008	5.87	-1.75	pita	22.3	0	0	0
5	53011	6.69	-4.08	pita	22.7	0	0	0
5	53016	8.41	-6.39	pita	11.8	0	0	0
5	53030	10.65	-6.45	pita	24.2	0	0	2
5	53033	11.51	-3.92	pita	16.7	0	0	0
5	53034	14.02	-2.19	pita	12.5	0	0	0
5	53035	14.66	-1.54	pita	14.7	0	0	0
5	53036	12.67	-1.91	pita	15.9	0	0	0
5	53037	10.4	-2.2	pita	20.2	0	0	2
5	53039	9.38	-3.85	pita	25.3	0	0	0
5	53044	8.35	-1.67	pita	16.9	0	0	0
5	54003	0.68	-1.6	pita	20.7	0	0	0
5	54006	1.95	-3.54	pita	14.5	0	0	0
5	54011	0.4	-6.54	pita	20.2	0	0	0
5	54012	2.4	-6.76	pita	21.9	0	0	0
5	54013	4.29	-6.9	pita	19.2	0	0	0
5	54025	-0.16	-11.08	pita	17.8	0	1	6
5	54028	2.01	-10.94	pita	23.9	0	0	0
5	54032	3.42	-9.15	pita	18.3	0	0	0
5	54033	6.51	-9.35	pita	11.8	0	0	0
5	54035	6.35	-11.38	pita	22.9	0	0	4
5	54040	4.14	-13.59	pita	21.9	0	0	0
5	54042	1.39	-13.82	pita	24.2	1	0	0
5	55006	-3.23	-3.27	pita	19.7	0	0	3
5	55007	-3.65	-4.42	pita	13.3	0	0	0
5	55010	-1.31	-5.52	pita	18.1	0	0	0
5	55012	-2.23	-8.06	pita	20.8	0	6	0
5	55016	-4.73	-5.26	pita	14.1	0	0	0
5	55017	-5.17	-5.39	pita	15.3	0	0	0
5	55023	-5.49	-8.87	pita	17.9	0	0	0
5	55024	-7.85	-7.96	pita	9.3	0	0	0
5	55028	-8.48	-9.19	pita	17.5	0	0	0
5	55033	-11.44	-9.52	pita	19.4	0	0	0
5	55034	-8.77	-10.79	pita	18.2	0	0	0
5	55044	-1.98	-13.8	pita	18.8	0	0	0
5	55046	-2.48	-11.01	pita	11.3	0	0	0
5	55050	-4.42	-11.26	pita	19	0	0	0
5	55051	-5.04	-11.09	pita	19.9	0	0	0
5	56003	-1.85	-0.95	pita	5.6	0	0	0
5	56004	-2.19	-1.65	pita	13.4	0	0	6
5	56018	-7.07	-1.47	pita	13.2	0	0	0
5	56021	-9.81	-0.11	pita	14.1	0	0	0
5	56022	-9.58	-0.51	pita	6.1	0	0	1
5	56024	-9.52	-1.46	pita	12.2	0	0	0
5	56029	-7.61	-3.76	pita	16	0	0	0
5	56032	-7.9	-5.97	pita	17.1	0	0	0
5	56035	-9.45	-3.84	pita	16	0	0	0
5	56036	-9.34	-6.22	pita	21.8	0	0	3
5	56041	-11.66	-3.91	pita	14.6	0	0	0
5	56050	-13.01	-6.7	pita	19.5	0	1	0
5	56051	-13.45	-3.6	pita	20.2	0	0	0
5	56053	-14.24	-1.33	pita	24.5	0	3	10
5	56055	-11.93	-1.46	pita	18.7	0	0	0
5	57004	-2.11	1.2	pita	18.2	0	0	0
5	57010	-4.92	1.26	pita	24.1	0	25	36
5	57011	-3.94	3.71	pita	22.2	0	0	8
5	57014	-5.45	1.28	pita	11.9	0	0	0
5	57015	-7.85	1.25	pita	18.2	0	0	0
5	57019	-9.59	3.67	pita	25.8	0	3	8
5	57023	-7.14	8.65	pita	21.5	0	0	4
5	57025	-9.56	8.97	pita	10.6	0	0	0
5	57027	-12.05	8.41	pita	23.1	0	0	0
5	57029	-12.98	5.91	pita	20.7	0	2	1
5	57032	-12.26	3.8	pita	17	0	0	0
5	57035	-13.34	1.3	pita	17.5	0	0	0
5	57036	-11.88	2.65	pita	12.7	0	0	0
5	57037	-11.14	2	pita	9.4	0	0	2
5	57038	-10.87	1.3	pita	8.9	0	0	0
5	57041	-6.97	5.93	pita	20.6	0	0	0
5	58007	-1.21	3.85	pita	18.3	0	0	0
5	58013	-0.5	6.2	pita	24.4	0	0	0
5	58016	-1.18	8.7	pita	19.7	0	0	0
5	58017	-2.55	6.52	pita	12	0	0	0
5	58023	-4.76	6.49	pita	21.3	0	0	0
5	58024	-4.15	8.82	pita	21.2	0	0	0
5	58030	-8.19	11.38	pita	15.1	0	0	0
5	58031	-6	11.31	pita	17.8	0	0	0
5	58033	-3.78	11.3	pita	23.7	0	0	3
5	58038	-2.07	13.84	pita	17	0	0	0
6	61005	3.89	2.72	pita	16.6	0	2	3
6	61007	1.64	3.49	pita	18.3	0	0	0
6	61008	1.74	5.88	pita	14.4	0	0	0
6	61009	2.16	6.27	pita	7.1	0	0	0
6	61011	2.04	7.85	pita	19.1	0	6	0
6	61014	5.05	7.3	pita	9.5	0	0	0
6	61018	3.51	5.01	pita	10.4	0	0	0
6	61019	4.6	4.71	pita	15.4	0	0	0
6	61020	4.82	3.71	pita	11.5	0	3	0
6	61022	5.82	4.07	pita	12	0	0	2
6	61030	7.91	6.42	pita	17.5	0	0	0
6	61032	9.97	5.97	pita	18.1	0	0	0
6	61033	8.2	8.22	pita	15	0	0	0
6	61036	5.95	7.09	pita	16.2	0	2	5
6	61039	9.18	9.09	pita	18.3	0	0	0
6	61041	11.46	8.46	pita	12.9	0	0	0
6	61042	8.66	11.72	pita	19.7	0	0	0
6	61045	7.17	10.08	pita	14.8	0	1	0
6	61047	6.28	9.1	pita	19.9	0	0	0
6	61053	3.69	12.49	pita	20.8	0	0	0
6	61054	3.83	11.41	pita	9.4	0	0	0
6	62003	2.73	0.39	pita	15.4	0	0	0
6	62005	6.19	9.67	pita	18	0	2	0
6	62006	4.53	-0.15	pita	6.6	0	0	0
6	62007	5.47	-0.25	pita	13.2	0	0	0
