"Demand","WorkDay","Temperature"
224.377063876,"WorkDay",21.6
221.94096546,"WorkDay",23.1
222.489926686,"WorkDay",20.9
221.565872944,"WorkDay",20.3
195.66685867,"Other",17.1
190.31111951,"Other",20.2
226.050989726,"WorkDay",20.8
226.917460584,"WorkDay",21.7
230.292681426,"WorkDay",18
234.660413654,"WorkDay",15.8
231.84855445,"WorkDay",17.7
201.038256576,"Other",18.4
199.712859758,"Other",14.9
232.58764709,"WorkDay",16.4
235.011377108,"WorkDay",16.4
230.997025364,"WorkDay",18.1
232.087479466,"WorkDay",16.7
234.6715011,"WorkDay",15.4
202.432333296,"Other",16.8
196.719661858,"Other",14.9
206.504624442,"Other",15.4
235.778186192,"WorkDay",18.3
241.099380104,"WorkDay",16.2
243.616722524,"WorkDay",16.2
237.212577078,"WorkDay",16.5
212.136561988,"Other",15.2
203.35819459,"Other",16
241.320649452,"WorkDay",17
244.756767862,"WorkDay",15.8
244.58834475,"WorkDay",14.2
252.897449834,"WorkDay",12.2
239.69476055,"WorkDay",15.1
211.049436444,"Other",15
205.688831308,"Other",15.4
245.357649132,"WorkDay",14.4
261.774488502,"WorkDay",14.3
248.247620102,"WorkDay",15.7
243.389594624,"WorkDay",15.6
241.59153925,"WorkDay",14.5
218.874063062,"Other",12.7
220.295310302,"Other",11
255.00559694,"WorkDay",13.1
254.810112552,"WorkDay",13.1
245.086450906,"WorkDay",16.6
247.866872026,"WorkDay",12.4
249.052042996,"WorkDay",12.4
218.406723026,"Other",15.2
212.914845934,"Other",13.9
241.260002962,"WorkDay",15.7
242.972463762,"WorkDay",14.3
257.599072426,"WorkDay",13.3
257.98055023,"WorkDay",14.7
247.654738106,"WorkDay",14.4
227.028991406,"Other",11.1
220.939721336,"Other",14.9
258.828692886,"WorkDay",13.1
264.18271463,"WorkDay",12.9
253.523189944,"WorkDay",14.6
259.805011266,"WorkDay",12.1
256.235468698,"WorkDay",13.8
223.482490216,"Other",13.2
215.77484077,"Other",13.2
258.827803342,"WorkDay",12.9
268.984564334,"WorkDay",12.2
267.235454746,"WorkDay",13.4
269.354395358,"WorkDay",14.9
253.27478474,"WorkDay",15.9
223.156768042,"Other",14.9
211.216041898,"Other",16.8
242.072527,"WorkDay",16.7
246.404601926,"WorkDay",16.5
237.884147744,"WorkDay",18.9
239.61865251,"WorkDay",19.3
263.314798322,"WorkDay",9.8
227.57694229,"Other",13.4
221.635011384,"Other",14.2
256.61974377,"WorkDay",15.2
250.481639172,"WorkDay",16.5
246.815479278,"WorkDay",15.9
252.00979398,"WorkDay",13.6
243.56900637,"WorkDay",15.9
217.18736036,"Other",14.6
212.913591254,"Other",13.6
261.058640828,"WorkDay",12.7
262.47509844,"WorkDay",12.7
253.515558168,"WorkDay",14.5
249.853049548,"WorkDay",14.8
244.954895408,"WorkDay",16.9
221.146268684,"Other",13.3
210.597724776,"Other",15.7
250.250471944,"WorkDay",13.6
248.265012146,"WorkDay",13.3
247.303441168,"WorkDay",13.3
242.793715624,"WorkDay",17.4
231.165211644,"WorkDay",20.6
202.580009638,"Other",19.9
200.860669396,"Other",16.3
239.126760428,"WorkDay",16.1
236.93225352,"WorkDay",18.7
233.073962462,"WorkDay",19.5
233.122114494,"WorkDay",20
233.82076382,"WorkDay",15
193.010548572,"Other",21
189.32914646,"Other",21
236.269643916,"WorkDay",17.8
238.223979566,"WorkDay",16.1
241.451697342,"WorkDay",14.8
241.705381812,"WorkDay",15.9
233.516562276,"WorkDay",16.7
198.104970102,"Other",18.9
186.010421868,"Other",20.7
218.227625498,"WorkDay",20.8
222.727432448,"WorkDay",20.7
222.021291692,"WorkDay",19.1
226.73725465,"WorkDay",17.1
231.368291744,"WorkDay",15.9
196.583377262,"Other",18.5
185.043838964,"Other",20.1
225.464064872,"WorkDay",18
235.698203312,"WorkDay",14.8
236.132883132,"WorkDay",16.2
241.150931614,"WorkDay",13.7
230.364015644,"WorkDay",15.5
199.898901276,"Other",16.8
187.057023898,"Other",17.2
217.468430896,"WorkDay",23
215.156355962,"WorkDay",25.3
215.46607728,"WorkDay",23.5
217.797838828,"WorkDay",17
214.799597462,"WorkDay",19.3
184.72685141,"Other",23.3
177.315894968,"Other",27.9
207.730453672,"WorkDay",22.9
218.174634644,"WorkDay",23.8
224.694193116,"WorkDay",15.9
224.902387284,"WorkDay",17.4
212.365593856,"WorkDay",18.1
183.748682574,"Other",26.2
173.583948884,"Other",19.2
221.161395562,"WorkDay",25
216.720937392,"WorkDay",17.7
221.225142232,"WorkDay",18.7
217.726724034,"WorkDay",23.1
213.9396859,"WorkDay",24.9
186.21909401,"Other",21.2
181.445632594,"Other",27.5
222.122176916,"WorkDay",15.5
228.70363741,"WorkDay",16.9
225.683273886,"WorkDay",17.1
224.579852372,"WorkDay",16.7
214.555146346,"WorkDay",18.1
191.73906361,"Other",24.2
183.938925838,"Other",28.8
213.214673408,"WorkDay",20.6
222.909608248,"WorkDay",28.2
233.001612532,"WorkDay",31.1
224.634842454,"WorkDay",22.7
227.945416738,"WorkDay",30.4
193.219834956,"Other",19.8
182.96065429,"Other",24.5
212.938331098,"WorkDay",22.5
220.959579176,"WorkDay",19.7
218.727451384,"WorkDay",22.5
218.745918194,"WorkDay",21.8
226.761522642,"WorkDay",32.7
187.83642766,"Other",20.3
186.301853994,"Other",16.6
200.563410818,"WorkDay",23.3
186.938436556,"Other",28.9
206.637651804,"WorkDay",17.8
211.98566052,"WorkDay",23.5
227.213164292,"WorkDay",32.8
205.428282246,"Other",34.6
176.059747074,"Other",19.4
211.92385876,"WorkDay",20.2
215.32009558,"WorkDay",18.8
222.263459936,"WorkDay",24.3
239.606633534,"WorkDay",30.6
223.682012828,"WorkDay",27.7
189.563654246,"Other",18
182.01313893,"Other",18.1
208.354625974,"WorkDay",20.1
211.810515936,"WorkDay",20.9
217.470160668,"WorkDay",29.6
228.777412488,"WorkDay",28.1
215.288976858,"WorkDay",23
196.059202574,"Other",30.8
187.25928332,"Other",25
222.551242116,"WorkDay",19.6
213.939724822,"WorkDay",21.8
218.065623676,"WorkDay",18.7
214.940029368,"WorkDay",19.4
212.501729262,"WorkDay",20.5
193.78475622,"Other",24.3
213.238264002,"Other",34.1
242.498274678,"WorkDay",29
232.734645642,"WorkDay",26
228.061684822,"WorkDay",23.5
235.996219864,"WorkDay",26.4
224.09234761,"WorkDay",21.2
192.155474594,"Other",22.5
185.843695436,"Other",17.7
216.096648906,"WorkDay",21.2
217.011085956,"WorkDay",20.8
219.859502272,"WorkDay",21.1
215.758019682,"WorkDay",21.4
219.162764972,"WorkDay",27.4
209.452023786,"Other",31.2
196.849619224,"Other",25.9
228.249638966,"WorkDay",23.4
231.096718844,"WorkDay",32.1
214.1461543,"WorkDay",22.3
216.358081376,"WorkDay",24
206.028620072,"WorkDay",19.9
189.045337286,"Other",23
204.03977797,"Other",33.3
230.44480843,"WorkDay",24.7
219.498078628,"WorkDay",26.7
192.94256159,"WorkDay",22.2
166.698403366,"Other",23.4
166.856708026,"Other",20.1
173.727990102,"Other",22.2
188.512817316,"Other",31.2
191.273009036,"WorkDay",26.2
186.240144172,"WorkDay",24.4
186.370181072,"WorkDay",25.5
